Slave count,Framework,Results type,Results codec,Count total,Count mapped,Count passedQC,Count notDuplicate,rname histogram,mapq histogram,BED join,Count BED join,Max quality join,Count max quality join,mapq selection,Count mapq selection,length10 selection,Count length10 selection,length50 selection,Count length50 selection,Mean and stddev
1,hive,orc,snappy,4793.631,4502.51,4484.471,4414.486,4486.516,4462.445,8035.442,102.14,658.005,90.113,204.037,82.114,195.444,82.114,195.904,78.14,179.553
1,hive,orc,snappy,4881.674,4748.499,4744.459,4654.423,4742.549,4718.414,7760.004,84.13,636.736,66.131,196.004,70.123,168.33,70.115,186.229,78.14,159.514
1,hive,orc,snappy,4791.085,4636.512,4620.497,4548.407,4636.437,4638.447,7937.677,102.122,630.178,92.114,216.22,72.124,198.962,76.123,192.313,78.123,175.131
1,hive,orc,snappy,4751.611,4552.528,4514.472,4532.438,4568.459,4578.446,7950.715,114.141,699.381,96.122,220.678,98.105,196.671,88.131,200.664,88.12,199.539
2,hive,orc,snappy,2139.52,2088.318,2080.289,2102.333,2110.318,2096.34,3590.749,30.14,337.553,30.115,88.748,28.141,84.682,28.141,87.481,26.125,67.733
2,hive,orc,snappy,2165.507,2184.368,2134.302,2118.299,2188.327,2146.305,3592.759,28.129,341.5,30.115,90.681,28.133,86.758,28.145,84.669,28.124,69.717
2,hive,orc,snappy,2161.581,2128.351,2138.319,2130.318,2130.287,2112.285,3614.793,28.131,359.5,28.124,88.748,28.124,87.157,30.132,87.496,26.141,71.751
2,hive,orc,snappy,2089.553,2068.315,2030.293,2040.295,2046.282,2050.29,3560.667,28.123,347.742,30.123,91.322,26.125,87.114,28.141,87.06,26.12,71.76
4,hive,orc,snappy,1457.513,1436.302,1414.257,1486.272,1372.242,1446.257,1870.539,26.132,211.377,24.124,76.681,24.141,78.823,24.133,72.698,24.132,61.741
4,hive,orc,snappy,1667.447,1602.325,1624.259,1642.234,1626.261,1640.273,1944.558,28.125,213.436,24.124,78.673,24.116,72.756,26.141,70.721,24.132,61.715
4,hive,orc,snappy,1521.528,1514.298,1426.259,1414.235,1434.276,1480.273,1874.548,26.119,231.364,24.132,78.721,24.132,78.729,22.124,74.697,28.115,63.782
4,hive,orc,snappy,1629.493,1690.317,1626.273,1736.285,1682.254,1686.275,1930.549,24.129,207.866,24.123,76.671,24.107,80.705,24.123,70.7,24.132,63.782
8,hive,orc,snappy,933.227,820.251,840.2,842.194,830.212,856.203,1088.314,20.129,135.239,22.14,44.665,16.099,42.657,16.1,48.649,18.108,51.367
8,hive,orc,snappy,1061.334,930.224,920.196,912.199,994.206,988.213,1306.367,38.124,187.221,50.115,78.706,44.118,72.642,36.116,66.632,28.116,91.575
8,hive,orc,snappy,975.284,932.232,868.185,898.19,870.192,904.207,1158.175,24.112,189.239,42.123,66.732,26.107,50.698,30.116,60.665,20.107,53.475
8,hive,orc,snappy,1059.305,1006.287,990.21,916.181,976.207,984.194,1206.347,24.107,161.264,28.107,62.607,20.108,52.732,22.138,52.645,22.124,49.609
16,hive,orc,snappy,561.185,520.219,514.178,518.178,502.173,532.189,706.19,18.129,107.265,16.114,44.649,18.133,48.607,16.124,48.683,16.116,47.517
16,hive,orc,snappy,575.285,512.219,514.178,516.169,530.188,542.177,710.422,18.112,101.44,16.124,54.782,22.108,48.865,22.125,50.99,20.116,53.543
16,hive,orc,snappy,539.294,492.214,452.173,436.174,460.177,482.181,690.251,18.137,115.433,18.115,46.666,18.133,48.771,16.116,46.616,16.133,51.525
16,hive,orc,snappy,529.254,456.237,466.17,470.17,464.165,448.172,680.299,16.117,107.475,18.114,48.657,18.1,46.691,18.133,44.657,18.108,49.553
31,hive,orc,snappy,339.291,326.199,290.167,298.184,308.177,296.161,550.203,16.111,121.268,18.106,42.674,18.083,42.624,16.108,42.584,16.108,47.536
31,hive,orc,snappy,313.227,292.192,270.159,264.169,280.175,288.168,542.389,16.121,107.328,18.122,40.698,20.132,52.698,20.157,50.626,20.121,53.492
31,hive,orc,snappy,343.217,312.192,302.168,276.158,294.153,314.168,579.048,18.104,137.988,18.113,54.572,20.14,58.638,18.108,88.554,18.116,53.531
31,hive,orc,snappy,367.226,362.198,354.173,294.159,330.164,358.174,604.877,18.115,135.263,18.122,51.165,18.115,45.222,18.116,47.965,20.099,51.474
