Slave count,Framework,Results type,Results codec,Count BED join,Max quality join,Count max quality join,mapq selection,Count mapq selection,length10 selection,Count length10 selection,length50 selection,Count length50 selection,Mean and stddev
1,shark,rcfile,gzip,6.424,1693.831,39.483,217.461,4.942,215.77,5.408,217.104,5.017,43.732
1,shark,rcfile,gzip,6.382,1708.923,54.674,216.111,6.166,215.595,4.825,215.253,4.891,45.907
1,shark,rcfile,gzip,6.466,1762.61,47.832,215.661,5.691,215.178,5.041,214.77,4.841,42.765
1,shark,rcfile,gzip,6.217,1751.444,63.406,215.128,5.949,216.845,6.05,214.204,5.841,42.373
2,shark,rcfile,gzip,4.216,464.13,4.158,111.423,3.258,110.381,3.208,110.831,3.083,37.416
2,shark,rcfile,gzip,4.524,550.91,3.681,112.324,4.05,112.19,4.066,112.422,3.816,38.049
2,shark,rcfile,gzip,4.275,451.262,4.691,110.939,3.383,110.823,3.125,112.439,3.542,36.407
2,shark,rcfile,gzip,6.258,462.23,3.999,111.315,3.241,111.431,3.158,110.614,3.374,36.115
4,shark,rcfile,gzip,4.658,366.649,2.349,61.082,2.275,58.233,3.425,58.843,2.741,33.299
4,shark,rcfile,gzip,3.25,327.334,3.117,60.558,2.975,60.291,2.109,60.09,3.224,34.365
4,shark,rcfile,gzip,3.45,566.893,2.552,59.572,2.434,60.808,2.125,60.049,2.15,33.016
4,shark,rcfile,gzip,3.616,235.818,2.559,60.207,2.583,58.683,2.249,60.016,2.133,34.024
8,shark,rcfile,gzip,3.033,230.502,1.833,31.532,1.449,41.308,1.391,34.242,1.516,32.182
8,shark,rcfile,gzip,21.566,520.718,1.791,34.507,16.991,42.599,6.241,51.915,2.341,38.64
8,shark,rcfile,gzip,2.817,131.981,2.966,34.492,2.6,31.033,1.425,30.924,1.35,32.5
8,shark,rcfile,gzip,2.521,304.895,1.933,35.343,2.508,37.758,2.425,33.424,1.992,32.499
16,shark,rcfile,gzip,4.325,366.64,9.133,27.016,2.758,27.291,1.275,28.451,7.475,62.063
16,shark,rcfile,gzip,2.041,250.679,1.833,31.632,1.85,34.64,1.3,26.746,5.6,38.523
16,shark,rcfile,gzip,2.0,332.949,1.833,26.9,9.092,29.033,1.259,36.157,1.233,31.416
16,shark,rcfile,gzip,2.008,329.033,7.941,39.308,1.458,39.683,4.417,27.132,1.616,39.699
31,shark,rcfile,gzip,1.941,339.474,1.233,20.692,1.158,34.775,1.083,20.924,1.025,64.631
31,shark,rcfile,gzip,1.958,239.586,1.183,20.55,1.161,44.531,1.066,21.611,1.059,30.807
31,shark,rcfile,gzip,1.983,202.687,1.192,20.442,1.092,20.376,1.066,21.001,1.108,31.407
31,shark,rcfile,gzip,1.825,275.193,1.216,20.526,1.133,20.576,1.074,21.999,1.034,32.674
